"","PCT-C-0000","PCT-C-0000","PCT-C-0000","PCT-C-0000","PCT-C-0075","PCT-C-0075","PCT-C-0075","PCT-C-0075","PCT-C-0125","PCT-C-0125","PCT-C-0125","PCT-C-0125","PCT-C-0250","PCT-C-0250","PCT-C-0250","PCT-C-0250","PCT-C-0500","PCT-C-0500","PCT-C-0500","PCT-C-0500","PCT-C-1000","PCT-C-1000","PCT-C-1000","PCT-C-1000","PCT-C-2000","PCT-C-2000","PCT-C-2000","PCT-C-2000","PCT-C-4000","PCT-C-4000","PCT-C-4000","PCT-C-4000","PCT-N-0000","PCT-N-0000","PCT-N-0000","PCT-N-0000","PCT-N-0075","PCT-N-0075","PCT-N-0075","PCT-N-0075","PCT-N-0125","PCT-N-0125","PCT-N-0125","PCT-N-0125","PCT-N-0250","PCT-N-0250","PCT-N-0250","PCT-N-0250","PCT-N-0500","PCT-N-0500","PCT-N-0500","PCT-N-0500","PCT-N-1000","PCT-N-1000","PCT-N-1000","PCT-N-1000","PCT-N-2000","PCT-N-2000","PCT-N-2000","PCT-N-2000","PCT-N-4000","PCT-N-4000","PCT-N-4000","PCT-N-4000","PCT-S-0000","PCT-S-0000","PCT-S-0000","PCT-S-0000","PCT-S-0075","PCT-S-0075","PCT-S-0075","PCT-S-0075","PCT-S-0125","PCT-S-0125","PCT-S-0125","PCT-S-0125","PCT-S-0250","PCT-S-0250","PCT-S-0250","PCT-S-0250","PCT-S-0500","PCT-S-0500","PCT-S-0500","PCT-S-0500","PCT-S-1000","PCT-S-1000","PCT-S-1000","PCT-S-1000","PCT-S-2000","PCT-S-2000","PCT-S-2000","PCT-S-2000","PCT-S-4000","PCT-S-4000","PCT-S-4000","PCT-S-4000"
"distance","0","0","0","0","75","75","75","75","125","125","125","125","250","250","250","250","500","500","500","500","1000","1000","1000","1000","2000","2000","2000","2000","4000","4000","4000","4000","0","0","0","0","75","75","75","75","125","125","125","125","250","250","250","250","500","500","500","500","1000","1000","1000","1000","2000","2000","2000","2000","4000","4000","4000","4000","0","0","0","0","75","75","75","75","125","125","125","125","250","250","250","250","500","500","500","500","1000","1000","1000","1000","2000","2000","2000","2000","4000","4000","4000","4000"
"transect","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"transect.num","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
