"query_seq","Nhits","N_taxid_all","beste","Nhits_beste","N_taxid_beste","LCA_name_all","LCA_rank_all","LCA_id_all","LCA_name_beste","LCA_rank_beste","LCA_id_beste","class_all","order_all","family_all","class_beste","order_beste","family_beste","query_abundance"
"DUP_12173;size=229",13,3,2.92e-34,13,3,"Mytilus","genus","6548","Mytilus","genus","6548","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",229
"DUP_12193;size=344",2,2,3.88e-13,2,2,"Elusimicrobium","genus","423604","Elusimicrobium","genus","423604","Elusimicrobia","Elusimicrobiales","Elusimicrobiaceae","Elusimicrobia","Elusimicrobiales","Elusimicrobiaceae",344
"DUP_12207;size=208",6,2,8.01e-35,6,2,"Veneridae","family","6592","Veneridae","family","6592","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",208
"DUP_12219;size=239",1,1,3.64e-33,1,1,"Alderia modesta","species","369574","Alderia modesta","species","369574","Gastropoda",NA,"Limapontiidae","Gastropoda",NA,"Limapontiidae",239
"DUP_1223;size=7197",114,33,2.21e-50,106,25,"Laurasiatheria","superorder","314145","Laurasiatheria","superorder","314145","Mammalia",NA,NA,"Mammalia",NA,NA,7197
"DUP_12251;size=207",55,36,3.74e-38,12,7,"Actinopterygii","superclass","7898","Percomorphaceae","below-infraclass","1489872",NA,NA,NA,"Actinopteri",NA,NA,207
"DUP_1228;size=5131",5,5,1.75e-31,2,2,"Tellinoidea","superfamily","98297","Tellinoidea","superfamily","98297","Bivalvia","Veneroida",NA,"Bivalvia","Veneroida",NA,5131
"DUP_12293;size=216",4,1,4.7e-32,1,1,"Alderia modesta","species","369574","Alderia modesta","species","369574","Gastropoda",NA,"Limapontiidae","Gastropoda",NA,"Limapontiidae",216
"DUP_12307;size=206",3,2,4.95e-22,3,2,"Veneridae","family","6592","Veneridae","family","6592","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",206
"DUP_1232;size=5247",3,1,2.82e-49,3,1,"Panopea generosa","species","1049056","Panopea generosa","species","1049056","Bivalvia","Myoida","Hiatellidae","Bivalvia","Myoida","Hiatellidae",5247
"DUP_12325;size=328",2,2,3.74e-38,1,1,"Nitidotellina","genus","255529","Nitidotellina iridella","species","1230547","Bivalvia","Veneroida","Tellinidae","Bivalvia","Veneroida","Tellinidae",328
"DUP_12353;size=205",3,2,1.38e-22,3,2,"Veneridae","family","6592","Veneridae","family","6592","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",205
"DUP_12354;size=205",10,3,6.16e-31,1,1,"Pugettia","genus","27407","Pugettia producta","species","504418","Malacostraca","Decapoda","Epialtidae","Malacostraca","Decapoda","Epialtidae",205
"DUP_12387;size=216",2,2,2.29e-25,2,2,"Mollusca","phylum","6447","Mollusca","phylum","6447",NA,"Solemyoida",NA,NA,"Solemyoida",NA,216
"DUP_1240;size=7886",3,1,6.22e-41,3,1,"Mya arenaria","species","6604","Mya arenaria","species","6604","Bivalvia","Myoida","Myidae","Bivalvia","Myoida","Myidae",7886
"DUP_12421;size=524",104,53,4.78e-47,14,12,"Euechinoidea","subclass","7638","Euechinoidea","subclass","7638","Echinoidea",NA,NA,"Echinoidea",NA,NA,524
"DUP_12435;size=203",3,2,1.74e-36,3,2,"Modiolus","genus","40255","Modiolus","genus","40255","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",203
"DUP_1248;size=9777",62,36,6.13e-51,2,1,"Euteleostomi","below-subphylum","117571","Kryptoglanis shajii","species","748428",NA,NA,NA,"Actinopteri","Siluriformes","Kryptoglanidae",9777
"DUP_12522;size=219",56,18,7.95e-40,9,4,"Cladocera","suborder","6665","Cladocera","suborder","6665","Branchiopoda","Diplostraca",NA,"Branchiopoda","Diplostraca",NA,219
"DUP_12536;size=206",6,2,2.26e-25,6,2,"Veneridae","family","6592","Veneridae","family","6592","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",206
"DUP_12543;size=565",2,2,2.22e-45,2,2,"Spatangoida","order","41317","Spatangoida","order","41317","Echinoidea","Spatangoida",NA,"Echinoidea","Spatangoida",NA,565
"DUP_12590;size=199",101,7,1.07e-18,36,3,"Boreoeutheria","below-class","1437010","Boreoeutheria","below-class","1437010","Mammalia","Rodentia",NA,"Mammalia","Rodentia",NA,199
"DUP_126;size=78037",22,13,1.32e-52,20,13,"Squalimorphii","below-infraclass","118040","Squalimorphii","below-infraclass","118040","Chondrichthyes",NA,NA,"Chondrichthyes",NA,NA,78037
"DUP_12617;size=216",2,2,6.35e-26,1,1,"Protostomia","below-kingdom","33317","Deosergestes corniculum","species","1213277",NA,"Decapoda",NA,"Malacostraca","Decapoda","Sergestidae",216
"DUP_12631;size=217",1,1,1.69e-51,1,1,"Ampithoe lacertosa","species","429030","Ampithoe lacertosa","species","429030","Malacostraca","Amphipoda",NA,"Malacostraca","Amphipoda",NA,217
"DUP_12642;size=203",1,1,2.22e-45,1,1,"Pugettia producta","species","504418","Pugettia producta","species","504418","Malacostraca","Decapoda","Epialtidae","Malacostraca","Decapoda","Epialtidae",203
"DUP_12646;size=354",4,1,4.85e-27,1,1,"Mya arenaria","species","6604","Mya arenaria","species","6604","Bivalvia","Myoida","Myidae","Bivalvia","Myoida","Myidae",354
"DUP_12651;size=211",12,2,2.89e-49,12,2,"Mytilus","genus","6548","Mytilus","genus","6548","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",211
"DUP_12728;size=207",5,4,3.65e-48,5,4,"Podonidae","family","141398","Podonidae","family","141398","Branchiopoda","Diplostraca","Podonidae","Branchiopoda","Diplostraca","Podonidae",207
"DUP_128;size=61446",106,89,1.03e-48,106,89,"Percomorphaceae","below-infraclass","1489872","Percomorphaceae","below-infraclass","1489872","Actinopteri",NA,NA,"Actinopteri",NA,NA,61446
"DUP_12802;size=880",102,70,1.33e-47,8,5,"Percomorphaceae","below-infraclass","1489872","Percomorphaceae","below-infraclass","1489872","Actinopteri",NA,NA,"Actinopteri",NA,NA,880
"DUP_12805;size=194",21,15,8.11e-35,10,7,"Lottioidea","superfamily","216260","Lottiidae","family","69676","Gastropoda",NA,NA,"Gastropoda",NA,"Lottiidae",194
"DUP_12808;size=300",2,1,1.34e-42,2,1,"Saxidomus purpuratus","species","311201","Saxidomus purpuratus","species","311201","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",300
"DUP_12809;size=391",2,1,1.01e-48,2,1,"Protothaca jedoensis","species","224094","Protothaca jedoensis","species","224094","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",391
"DUP_12811;size=194",10,2,8.01e-35,3,1,"Euphausia","genus","6818","Euphausia pacifica","species","102976","Malacostraca","Euphausiacea","Euphausiidae","Malacostraca","Euphausiacea","Euphausiidae",194
"DUP_12838;size=414",1,1,1.03e-48,1,1,"Bos taurus","species","9913","Bos taurus","species","9913","Mammalia",NA,"Bovidae","Mammalia",NA,"Bovidae",414
"DUP_12853;size=195",2,1,6.31e-31,2,1,"Saxidomus purpuratus","species","311201","Saxidomus purpuratus","species","311201","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",195
"DUP_12870;size=293",3,2,8.01e-35,3,2,"Veneridae","family","6592","Veneridae","family","6592","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",293
"DUP_12879;size=192",92,29,4.81e-42,19,5,"Euteleostomi","below-subphylum","117571","Triturus","genus","8322",NA,"Caudata",NA,"Amphibia","Caudata","Salamandridae",192
"DUP_12913;size=191",3,1,2.22e-45,3,1,"Rexea bengalensis","species","1723714","Rexea bengalensis","species","1723714","Actinopteri","Scombriformes","Gempylidae","Actinopteri","Scombriformes","Gempylidae",191
"DUP_12920;size=216",5,2,6.13e-51,1,1,"Callyspongia","genus","178537","Callyspongia plicifera","species","178539","Demospongiae","Haplosclerida","Callyspongiidae","Demospongiae","Haplosclerida","Callyspongiidae",216
"DUP_1297;size=5136",1,1,1.01e-48,1,1,"Thysanoessa raschii","species","409302","Thysanoessa raschii","species","409302","Malacostraca","Euphausiacea","Euphausiidae","Malacostraca","Euphausiacea","Euphausiidae",5136
"DUP_12993;size=190",2,2,4.82e-32,2,2,"Macoma","genus","52799","Macoma","genus","52799","Bivalvia","Veneroida","Tellinidae","Bivalvia","Veneroida","Tellinidae",190
"DUP_12996;size=257",7,1,2.22e-45,7,1,"Mytilus trossulus","species","6551","Mytilus trossulus","species","6551","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",257
"DUP_13;size=1449103",72,46,8.22e-25,1,1,"Lophotrochozoa","below-kingdom","1206795","Dillwynella sp. SW-2012-1","species","1172390",NA,"Solemyoida",NA,"Gastropoda",NA,"Skeneidae",1449103
"DUP_13050;size=218",35,28,8.05e-40,8,6,"Lottioidea","superfamily","216260","Lottia","genus","72691","Gastropoda",NA,NA,"Gastropoda",NA,"Lottiidae",218
"DUP_131;size=60177",1,1,2.21e-50,1,1,"Minolia chinensis","species","1646127","Minolia chinensis","species","1646127","Gastropoda",NA,"Solariellidae","Gastropoda",NA,"Solariellidae",60177
"DUP_13105;size=187",1,1,4.84e-37,1,1,"Carinoma mutabilis","species","187807","Carinoma mutabilis","species","187807","Palaeonemertea",NA,"Carinomidae","Palaeonemertea",NA,"Carinomidae",187
"DUP_13112;size=256",105,80,2.85e-49,103,78,"Percomorphaceae","below-infraclass","1489872","Percomorphaceae","below-infraclass","1489872","Actinopteri",NA,NA,"Actinopteri",NA,NA,256
"DUP_1314;size=4824",142,102,1.03e-48,142,102,"Sebastidae","family","274692","Sebastidae","family","274692","Actinopteri","Perciformes","Sebastidae","Actinopteri","Perciformes","Sebastidae",4824
"DUP_13149;size=186",4,1,3.67e-43,4,1,"Mercenaria mercenaria","species","6596","Mercenaria mercenaria","species","6596","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",186
"DUP_13153;size=383",4,1,8.16e-30,4,1,"Mya arenaria","species","6604","Mya arenaria","species","6604","Bivalvia","Myoida","Myidae","Bivalvia","Myoida","Myidae",383
