"query_seq","Nhits","N_taxid_all","beste","Nhits_beste","N_taxid_beste","LCA_name_all","LCA_rank_all","LCA_id_all","LCA_name_beste","LCA_rank_beste","LCA_id_beste","class_all","order_all","family_all","class_beste","order_beste","family_beste","query_abundance"
"DUP_16380;size=163",25,20,1.37e-27,1,1,"Lophotrochozoa","below-kingdom","1206795","Pollia tincta","species","128412",NA,NA,NA,"Gastropoda",NA,"Buccinidae",163
"DUP_16390;size=194",122,80,2.23e-35,3,3,"Clupeocephala","below-infraclass","186625","Halichoeres","genus","51788","Actinopteri",NA,NA,"Actinopteri","Labriformes","Labridae",194
"DUP_16393;size=140",1,1,1.02e-28,1,1,"Olea hansineensis","species","1522364","Olea hansineensis","species","1522364","Gastropoda",NA,"Limapontiidae","Gastropoda",NA,"Limapontiidae",140
"DUP_16396;size=153",4,2,4.82e-32,3,1,"Euheterodonta","infraclass","735337","Panopea generosa","species","1049056","Bivalvia",NA,NA,"Bivalvia","Myoida","Hiatellidae",153
"DUP_16420;size=133",5,2,1.06e-18,1,1,"Veneroida","order","6580","Rangia cuneata","species","43053","Bivalvia","Veneroida",NA,"Bivalvia","Veneroida","Mactridae",133
"DUP_1643;size=4083",100,10,1.36e-32,12,2,"Mollusca","phylum","6447","Mytilus","genus","6548",NA,"Mytiloida",NA,"Bivalvia","Mytiloida","Mytilidae",4083
"DUP_16480;size=140",6,5,2.85e-49,2,2,"Percomorphaceae","below-infraclass","1489872","Eupercaria","below-infraclass","1489922","Actinopteri",NA,NA,"Actinopteri","Perciformes",NA,140
"DUP_165;size=53019",13,9,2.85e-49,11,8,"Percomorphaceae","below-infraclass","1489872","Percomorphaceae","below-infraclass","1489872","Actinopteri","Perciformes",NA,"Actinopteri",NA,NA,53019
"DUP_16507;size=327",12,2,2.21e-40,12,2,"Mytilus","genus","6548","Mytilus","genus","6548","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",327
"DUP_1653;size=3068",1,1,2.92e-34,1,1,"Ptychodera flava","species","63121","Ptychodera flava","species","63121","Enteropneusta",NA,"Ptychoderidae","Enteropneusta",NA,"Ptychoderidae",3068
"DUP_16537;size=131",2,2,1.37e-27,1,1,"Lophotrochozoa","below-kingdom","1206795","Paludicella articulata","species","569425",NA,"Ctenostomatida",NA,"Gymnolaemata","Ctenostomatida","Paludicellidae",131
"DUP_16538;size=131",6,3,3.78e-23,1,1,"Pharidae","family","114957","Siliqua alta","species","1230549","Bivalvia","Veneroida","Pharidae","Bivalvia","Veneroida","Pharidae",131
"DUP_16580;size=142",25,19,1.36e-32,10,7,"Lottioidea","superfamily","216260","Lottiidae","family","69676","Gastropoda",NA,NA,"Gastropoda",NA,"Lottiidae",142
"DUP_16590;size=140",10,2,1.7e-46,2,1,"Euphausia","genus","6818","Euphausia pacifica","species","102976","Malacostraca","Euphausiacea","Euphausiidae","Malacostraca","Euphausiacea","Euphausiidae",140
"DUP_166;size=42712",5,1,4.74e-52,5,1,"Rhacochilus vacca","species","50905","Rhacochilus vacca","species","50905","Actinopteri",NA,"Embiotocidae","Actinopteri",NA,"Embiotocidae",42712
"DUP_16610;size=130",1,1,4.67e-37,1,1,"Ptychodera flava","species","63121","Ptychodera flava","species","63121","Enteropneusta",NA,"Ptychoderidae","Enteropneusta",NA,"Ptychoderidae",130
"DUP_16619;size=143",79,54,4.78e-47,2,2,"Clupeocephala","below-infraclass","186625","Osteochilus","genus","227287","Actinopteri",NA,NA,"Actinopteri","Cypriniformes","Cyprinidae",143
"DUP_16658;size=143",2,1,3.74e-38,2,1,"Modiolus modiolus","species","40256","Modiolus modiolus","species","40256","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",143
"DUP_16673;size=184",3,2,2.28e-35,2,1,"Veneridae","family","6592","Saxidomus purpuratus","species","311201","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",184
"DUP_1669;size=3872",1,1,1.05e-33,1,1,"Acartia hudsonica","species","198241","Acartia hudsonica","species","198241","Maxillopoda","Calanoida","Acartiidae","Maxillopoda","Calanoida","Acartiidae",3872
"DUP_16734;size=168",4,1,2.85e-49,4,1,"Mya arenaria","species","6604","Mya arenaria","species","6604","Bivalvia","Myoida","Myidae","Bivalvia","Myoida","Myidae",168
"DUP_16798;size=130",1,1,4.84e-37,1,1,"Acartia hudsonica","species","198241","Acartia hudsonica","species","198241","Maxillopoda","Calanoida","Acartiidae","Maxillopoda","Calanoida","Acartiidae",130
"DUP_168;size=43456",7,7,7.9e-45,7,7,"Cucujiformia","infraorder","41088","Cucujiformia","infraorder","41088","Insecta","Coleoptera",NA,"Insecta","Coleoptera",NA,43456
"DUP_16801;size=175",1,1,1.71e-41,1,1,"Humilaria kennerleyi","species","380170","Humilaria kennerleyi","species","380170","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",175
"DUP_16807;size=202",24,21,2.22e-45,20,18,"Euechinoidea","subclass","7638","Euechinoidea","subclass","7638","Echinoidea",NA,NA,"Echinoidea",NA,NA,202
"DUP_1682;size=3687",2,2,1.31e-47,1,1,"Thysanoessa","genus","48145","Thysanoessa raschii","species","409302","Malacostraca","Euphausiacea","Euphausiidae","Malacostraca","Euphausiacea","Euphausiidae",3687
"DUP_1684;size=5697",4,1,1.36e-32,1,1,"Mya arenaria","species","6604","Mya arenaria","species","6604","Bivalvia","Myoida","Myidae","Bivalvia","Myoida","Myidae",5697
"DUP_16840;size=128",12,9,1.05e-33,2,2,"Lottiidae","family","69676","Lottia","genus","72691","Gastropoda",NA,"Lottiidae","Gastropoda",NA,"Lottiidae",128
"DUP_16908;size=184",1,1,4.84e-37,1,1,"Modiolus rumphii","species","1411923","Modiolus rumphii","species","1411923","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",184
"DUP_1695;size=3707",103,61,8.11e-35,2,2,"Echinoidea","class","7625","Spatangoida","order","41317","Echinoidea",NA,NA,"Echinoidea","Spatangoida",NA,3707
"DUP_17;size=1197163",10,2,1.69e-51,2,1,"Euphausia","genus","6818","Euphausia pacifica","species","102976","Malacostraca","Euphausiacea","Euphausiidae","Malacostraca","Euphausiacea","Euphausiidae",1197163
"DUP_17035;size=154",2,2,4.89e-22,1,1,"Solenoidea","superfamily","106232","Solen marginatus","species","251532","Bivalvia","Veneroida",NA,"Bivalvia","Veneroida","Solenidae",154
"DUP_17084;size=159",10,2,4.72e-47,2,1,"Euphausia","genus","6818","Euphausia pacifica","species","102976","Malacostraca","Euphausiacea","Euphausiidae","Malacostraca","Euphausiacea","Euphausiidae",159
"DUP_17087;size=148",14,3,2.94e-29,14,3,"Lepidophyma","genus","8541","Lepidophyma","genus","8541",NA,"Squamata","Xantusiidae",NA,"Squamata","Xantusiidae",148
"DUP_17088;size=155",100,8,4.78e-47,5,3,"Boreoeutheria","below-class","1437010","Suidae","family","9821","Mammalia","Rodentia",NA,"Mammalia",NA,"Suidae",155
"DUP_1709;size=3288",100,12,1.33e-47,1,1,"Teleostei","infraclass","32443","Gymnothorax zonipectis","species","876641","Actinopteri",NA,NA,"Actinopteri","Anguilliformes","Muraenidae",3288
"DUP_171;size=31184",2,1,8.16e-30,2,1,"Mytilus trossulus","species","6551","Mytilus trossulus","species","6551","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",31184
"DUP_17120;size=125",2,1,4.91e-27,2,1,"Saxidomus purpuratus","species","311201","Saxidomus purpuratus","species","311201","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",125
"DUP_17122;size=150",1,1,2.22e-45,1,1,"Cancer irroratus","species","6756","Cancer irroratus","species","6756","Malacostraca","Decapoda","Cancridae","Malacostraca","Decapoda","Cancridae",150
"DUP_17129;size=127",1,1,7.9e-45,1,1,"Prosadenoporus mortoni","species","433743","Prosadenoporus mortoni","species","433743","Enopla","Monostilifera","Prosorhochmidae","Enopla","Monostilifera","Prosorhochmidae",127
"DUP_1720;size=3708",104,56,6.18e-46,15,13,"Euechinoidea","subclass","7638","Euechinoidea","subclass","7638","Echinoidea",NA,NA,"Echinoidea",NA,NA,3708
"DUP_1726;size=3186",4,1,4.78e-47,3,1,"Mya arenaria","species","6604","Mya arenaria","species","6604","Bivalvia","Myoida","Myidae","Bivalvia","Myoida","Myidae",3186
"DUP_17272;size=136",5,3,2.85e-49,5,3,"Bathyraja","genus","117870","Bathyraja","genus","117870","Chondrichthyes","Rajiformes","Arhynchobatidae","Chondrichthyes","Rajiformes","Arhynchobatidae",136
"DUP_1728;size=14204",3,1,1.03e-48,2,1,"Homo sapiens","species","9606","Homo sapiens","species","9606","Mammalia","Primates","Hominidae","Mammalia","Primates","Hominidae",14204
"DUP_17290;size=159",2,1,7.99e-45,2,1,"Protothaca jedoensis","species","224094","Protothaca jedoensis","species","224094","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",159
"DUP_17295;size=131",2,2,1.36e-22,2,2,"Tresus","genus","31207","Tresus","genus","31207","Bivalvia","Veneroida","Mactridae","Bivalvia","Veneroida","Mactridae",131
"DUP_17301;size=163",52,6,4.78e-47,12,2,"Mytilus","genus","6548","Mytilus","genus","6548","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",163
"DUP_17345;size=196",1,1,4.81e-42,1,1,"Ptychodera flava","species","63121","Ptychodera flava","species","63121","Enteropneusta",NA,"Ptychoderidae","Enteropneusta",NA,"Ptychoderidae",196
"DUP_17375;size=143",16,5,2.22e-45,16,5,"Boreoeutheria","below-class","1437010","Boreoeutheria","below-class","1437010","Mammalia",NA,NA,"Mammalia",NA,NA,143
"DUP_17395;size=139",10,2,4.72e-47,2,1,"Euphausia","genus","6818","Euphausia pacifica","species","102976","Malacostraca","Euphausiacea","Euphausiidae","Malacostraca","Euphausiacea","Euphausiidae",139
"DUP_1746;size=4477",4,4,1.77e-26,1,1,"Gastropoda","class","6448","Kaiparathina boucheti","species","1172424","Gastropoda",NA,NA,"Gastropoda",NA,"Turbinidae",4477
"DUP_17490;size=170",1,1,3.69e-48,1,1,"Ruditapes philippinarum","species","129788","Ruditapes philippinarum","species","129788","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",170
"DUP_175;size=40466",10,1,4.74e-52,10,1,"Ruditapes philippinarum","species","129788","Ruditapes philippinarum","species","129788","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",40466
"DUP_17509;size=128",5,4,3.82e-23,1,1,"Cheilostomatida","order","10207","Conopeum seurati","species","450191","Gymnolaemata","Cheilostomatida",NA,"Gymnolaemata","Cheilostomatida","Electridae",128
"DUP_17526;size=131",10,2,1.7e-46,2,1,"Euphausia","genus","6818","Euphausia pacifica","species","102976","Malacostraca","Euphausiacea","Euphausiidae","Malacostraca","Euphausiacea","Euphausiidae",131
"DUP_17556;size=141",2,1,1.74e-36,2,1,"Modiolus modiolus","species","40256","Modiolus modiolus","species","40256","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",141
"DUP_17572;size=132",1,1,4.83e-22,1,1,"Farrella repens","species","97262","Farrella repens","species","97262","Gymnolaemata","Ctenostomatida","Farrellidae","Gymnolaemata","Ctenostomatida","Farrellidae",132
"DUP_17583;size=133",104,68,1.03e-43,51,22,"Euteleostomi","below-subphylum","117571","Euteleostomi","below-subphylum","117571",NA,NA,NA,NA,NA,NA,133
"DUP_17647;size=133",22,4,4.78e-47,4,1,"Mytilus","genus","6548","Mytilus coruscus","species","42192","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",133
"DUP_177;size=42572",2,1,3.76e-43,2,1,"Saxidomus purpuratus","species","311201","Saxidomus purpuratus","species","311201","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",42572
"DUP_17705;size=121",1,1,8.16e-30,1,1,"Modiolus rumphii","species","1411923","Modiolus rumphii","species","1411923","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",121
"DUP_17714;size=165",2,2,3.67e-43,2,2,"Macoma","genus","52799","Macoma","genus","52799","Bivalvia","Veneroida","Tellinidae","Bivalvia","Veneroida","Tellinidae",165
"DUP_17741;size=118",100,7,6.31e-31,72,4,"Mytilus","genus","6548","Mytilus","genus","6548","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",118
"DUP_17762;size=185",2,1,2.24e-40,2,1,"Protothaca jedoensis","species","224094","Protothaca jedoensis","species","224094","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",185
"DUP_17767;size=118",3,3,8.07e-30,2,2,"Tellinoidea","superfamily","98297","Tellinoidea","superfamily","98297","Bivalvia","Veneroida",NA,"Bivalvia","Veneroida",NA,118
"DUP_17775;size=124",1,1,8.07e-30,1,1,"Pinguitellina sp. Mo77439","species","1230584","Pinguitellina sp. Mo77439","species","1230584","Bivalvia","Veneroida","Tellinidae","Bivalvia","Veneroida","Tellinidae",124
"DUP_178;size=33901",1,1,6.22e-41,1,1,"Maculaura alaskensis","species","187798","Maculaura alaskensis","species","187798","Anopla","Heteronemertea","Lineidae","Anopla","Heteronemertea","Lineidae",33901
"DUP_17860;size=136",12,2,3.77e-33,12,2,"Mytilus","genus","6548","Mytilus","genus","6548","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",136
"DUP_17864;size=185",4,1,8.16e-30,4,1,"Mya arenaria","species","6604","Mya arenaria","species","6604","Bivalvia","Myoida","Myidae","Bivalvia","Myoida","Myidae",185
"DUP_18;size=1102543",18,2,1.69e-51,18,2,"Chthamalus","genus","37898","Chthamalus","genus","37898","Maxillopoda","Sessilia","Chthamalidae","Maxillopoda","Sessilia","Chthamalidae",1102543
"DUP_1802;size=3487",2,1,4.85e-27,1,1,"Solecurtus divaricatus","species","444102","Solecurtus divaricatus","species","444102","Bivalvia","Veneroida","Solecurtidae","Bivalvia","Veneroida","Solecurtidae",3487
"DUP_18029;size=126",8,2,1.71e-41,8,2,"Macoma","genus","52799","Macoma","genus","52799","Bivalvia","Veneroida","Tellinidae","Bivalvia","Veneroida","Tellinidae",126
"DUP_18115;size=174",53,17,1.69e-51,9,3,"Mopalia","genus","256103","Mopalia","genus","256103","Polyplacophora","Neoloricata","Mopaliidae","Polyplacophora","Neoloricata","Mopaliidae",174
"DUP_18162;size=114",5,5,3.91e-23,2,2,"Lophotrochozoa","below-kingdom","1206795","Cephalothrix","genus","166041",NA,NA,NA,"Palaeonemertea",NA,"Cephalothricidae",114
"DUP_182;size=32823",1,1,2.29e-25,1,1,"Dillwynella sp. SW-2012-1","species","1172390","Dillwynella sp. SW-2012-1","species","1172390","Gastropoda",NA,"Skeneidae","Gastropoda",NA,"Skeneidae",32823
"DUP_18269;size=151",2,1,6.35e-26,2,1,"Alcyna ocellata","species","648600","Alcyna ocellata","species","648600","Gastropoda",NA,"Trochidae","Gastropoda",NA,"Trochidae",151
"DUP_18306;size=127",4,2,4.7e-32,1,1,"Placida","genus","71496","Placida sp. 1 NY-2013","species","1281821","Gastropoda",NA,"Limapontiidae","Gastropoda",NA,"Limapontiidae",127
"DUP_1833;size=3096",4,2,8.01e-35,3,1,"Caprella","genus","244428","Caprella mutica","species","380747","Malacostraca","Amphipoda","Caprellidae","Malacostraca","Amphipoda","Caprellidae",3096
"DUP_18414;size=112",2,1,1.73e-41,2,1,"Modiolus modiolus","species","40256","Modiolus modiolus","species","40256","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",112
"DUP_1843;size=3809",72,42,7.95e-40,19,9,"Sessilia","order","116167","Sessilia","order","116167","Maxillopoda","Sessilia",NA,"Maxillopoda","Sessilia",NA,3809
"DUP_18454;size=122",7,1,3.6e-48,7,1,"Mytilus trossulus","species","6551","Mytilus trossulus","species","6551","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",122
"DUP_1846;size=4327",189,163,1.36e-32,1,1,"Euteleostomi","below-subphylum","117571","Sarcophilus harrisii","species","9305",NA,NA,NA,"Mammalia","Dasyuromorphia","Dasyuridae",4327
"DUP_18473;size=124",2,2,1.7e-46,2,2,"Moerella","genus","224089","Moerella","genus","224089","Bivalvia","Veneroida","Tellinidae","Bivalvia","Veneroida","Tellinidae",124
"DUP_18474;size=145",12,12,1.75e-26,1,1,"Tellinoidea","superfamily","98297","Tellinella staurella","species","1236633","Bivalvia","Veneroida",NA,"Bivalvia","Veneroida","Tellinidae",145
"DUP_1853;size=3459",10,5,3.8e-28,1,1,"Tellinoidea","superfamily","98297","Pinguitellina sp. Mo77439","species","1230584","Bivalvia","Veneroida",NA,"Bivalvia","Veneroida","Tellinidae",3459
"DUP_18530;size=261",7,1,6.18e-46,7,1,"Mytilus trossulus","species","6551","Mytilus trossulus","species","6551","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",261
"DUP_18537;size=111",19,5,1.05e-23,4,3,"Veneroida","order","6580","Eupera","genus","98295","Bivalvia","Veneroida",NA,"Bivalvia","Veneroida","Sphaeriidae",111
"DUP_18618;size=112",4,3,6.08e-31,1,1,"Placobranchidae","family","71492","Thuridilla mazda","species","934970","Gastropoda",NA,"Placobranchidae","Gastropoda",NA,"Placobranchidae",112
"DUP_18647;size=126",13,13,1.35e-27,2,2,"Tellinoidea","superfamily","98297","Soletellina","genus","1125680","Bivalvia","Veneroida",NA,"Bivalvia","Veneroida","Psammobiidae",126
"DUP_1865;size=4841",2,1,2.23e-35,2,1,"Protothaca jedoensis","species","224094","Protothaca jedoensis","species","224094","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",4841
"DUP_1871;size=3345",100,76,2.21e-50,2,2,"Euteleostomi","below-subphylum","117571","Neognathae","superorder","8825",NA,NA,NA,"Aves",NA,NA,3345
"DUP_18731;size=115",118,48,2.32e-15,1,1,"Bivalvia","class","6544","Mytilus galloprovincialis","species","29158","Bivalvia",NA,NA,"Bivalvia","Mytiloida","Mytilidae",115
"DUP_18785;size=121",4,4,1.77e-26,2,2,"Tellinidae","family","52798","Tellinidae","family","52798","Bivalvia","Veneroida","Tellinidae","Bivalvia","Veneroida","Tellinidae",121
"DUP_18881;size=227",4,1,6.15e-41,4,1,"Mercenaria mercenaria","species","6596","Mercenaria mercenaria","species","6596","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",227
"DUP_18890;size=155",1,1,3.7e-38,1,1,"Macoma contabulata","species","1230539","Macoma contabulata","species","1230539","Bivalvia","Veneroida","Tellinidae","Bivalvia","Veneroida","Tellinidae",155
"DUP_1890;size=2929",4,2,2.22e-45,4,2,"Embiotocidae","family","50791","Embiotocidae","family","50791","Actinopteri",NA,"Embiotocidae","Actinopteri",NA,"Embiotocidae",2929
"DUP_18927;size=111",3,3,4.78e-47,1,1,"Suberitida","order","1779162","Hymeniacidon sinapium","species","364019","Demospongiae","Suberitida","Halichondriidae","Demospongiae","Suberitida","Halichondriidae",111
"DUP_18943;size=129",10,7,1.66e-36,10,7,"Lottiidae","family","69676","Lottiidae","family","69676","Gastropoda",NA,"Lottiidae","Gastropoda",NA,"Lottiidae",129
"DUP_18952;size=107",3,2,1.38e-22,2,1,"Veneridae","family","6592","Saxidomus purpuratus","species","311201","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",107
"DUP_19;size=1045197",2,1,6.13e-51,2,1,"Modiolus modiolus","species","40256","Modiolus modiolus","species","40256","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",1045197
"DUP_1900;size=3803",32,15,1.04e-33,32,15,"Sessilia","order","116167","Sessilia","order","116167","Maxillopoda","Sessilia",NA,"Maxillopoda","Sessilia",NA,3803
"DUP_1901;size=3327",100,9,1.02e-32,12,2,"Mytilus","genus","6548","Mytilus","genus","6548","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",3327
"DUP_1902;size=2862",105,81,4.78e-47,103,79,"Percomorphaceae","below-infraclass","1489872","Percomorphaceae","below-infraclass","1489872","Actinopteri",NA,NA,"Actinopteri",NA,NA,2862
"DUP_19068;size=129",42,28,1.75e-31,1,1,"Gastropoda","class","6448","Olivella volutella","species","604254","Gastropoda",NA,NA,"Gastropoda",NA,"Olividae",129
"DUP_19119;size=110",3,3,2.29e-25,3,3,"Tellinidae","family","52798","Tellinidae","family","52798","Bivalvia","Veneroida","Tellinidae","Bivalvia","Veneroida","Tellinidae",110
"DUP_19123;size=111",5,1,6.18e-46,4,1,"Mya arenaria","species","6604","Mya arenaria","species","6604","Bivalvia","Myoida","Myidae","Bivalvia","Myoida","Myidae",111
"DUP_19152;size=117",10,1,2.22e-45,10,1,"Ruditapes philippinarum","species","129788","Ruditapes philippinarum","species","129788","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",117
"DUP_19167;size=113",118,49,6.45e-16,116,48,"Bivalvia","class","6544","Mytilinae","subfamily","301959","Bivalvia",NA,NA,"Bivalvia","Mytiloida","Mytilidae",113
"DUP_1917;size=4213",51,6,1.72e-46,12,2,"Mytilus","genus","6548","Mytilus","genus","6548","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",4213
"DUP_19238;size=104",7,3,1.73e-31,2,1,"Veneridae","family","6592","Protothaca jedoensis","species","224094","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",104
"DUP_19282;size=104",100,5,3.82e-23,95,5,"Mytilus","genus","6548","Mytilus","genus","6548","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",104
"DUP_19313;size=126",2,2,2.96e-24,1,1,"Ctenostomatida","order","51985","Farrella repens","species","97262","Gymnolaemata","Ctenostomatida",NA,"Gymnolaemata","Ctenostomatida","Farrellidae",126
"DUP_19342;size=105",3,3,6.18e-46,1,1,"Lottioidea","superfamily","216260","Acmaea mitra","species","119162","Gastropoda",NA,NA,"Gastropoda",NA,"Acmaeidae",105
"DUP_19348;size=106",12,6,1.06e-23,2,2,"Nemertea","phylum","6217","Heteronemertea","order","6219","Anopla","Heteronemertea","Lineidae","Anopla","Heteronemertea","Lineidae",106
"DUP_19409;size=119",87,54,6.1e-46,47,32,"Sessilia","order","116167","Sessilia","order","116167","Maxillopoda","Sessilia",NA,"Maxillopoda","Sessilia",NA,119
"DUP_19438;size=107",35,7,3.82e-23,3,2,"Bivalvia","class","6544","Mytilus","genus","6548","Bivalvia",NA,NA,"Bivalvia","Mytiloida","Mytilidae",107
"DUP_19486;size=102",5,5,6.22e-41,5,5,"Spatangoida","order","41317","Spatangoida","order","41317","Echinoidea","Spatangoida",NA,"Echinoidea","Spatangoida",NA,102
"DUP_1950;size=4514",1,1,1.05e-22,1,1,"Farrella repens","species","97262","Farrella repens","species","97262","Gymnolaemata","Ctenostomatida","Farrellidae","Gymnolaemata","Ctenostomatida","Farrellidae",4514
"DUP_19525;size=136",4,4,1.71e-41,4,4,"Diopsidae","family","139644","Diopsidae","family","139644","Insecta","Diptera","Diopsidae","Insecta","Diptera","Diopsidae",136
"DUP_19536;size=163",3,2,4.85e-27,2,1,"Euphausiidae","family","6817","Nyctiphanes australis","species","102973","Malacostraca","Euphausiacea","Euphausiidae","Malacostraca","Euphausiacea","Euphausiidae",163
"DUP_1957;size=2585",100,9,1.36e-32,12,2,"Mytilus","genus","6548","Mytilus","genus","6548","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",2585
"DUP_19613;size=116",4,2,6.08e-31,1,1,"Placida","genus","71496","Placida sp. 1 NY-2013","species","1281821","Gastropoda",NA,"Limapontiidae","Gastropoda",NA,"Limapontiidae",116
"DUP_19655;size=108",2,2,6.23e-31,1,1,"Thysanoessa","genus","48145","Thysanoessa raschii","species","409302","Malacostraca","Euphausiacea","Euphausiidae","Malacostraca","Euphausiacea","Euphausiidae",108
"DUP_1968;size=3042",3,3,2.26e-25,3,3,"Tellinidae","family","52798","Tellinidae","family","52798","Bivalvia","Veneroida","Tellinidae","Bivalvia","Veneroida","Tellinidae",3042
"DUP_1969;size=3250",67,40,3.7e-38,19,9,"Sessilia","order","116167","Sessilia","order","116167","Maxillopoda","Sessilia",NA,"Maxillopoda","Sessilia",NA,3250
"DUP_19712;size=106",1,1,7.99e-45,1,1,"Apostichopus japonicus","species","307972","Apostichopus japonicus","species","307972","Holothuroidea","Aspidochirotida","Stichopodidae","Holothuroidea","Aspidochirotida","Stichopodidae",106
"DUP_19731;size=100",61,16,6.08e-31,13,3,"Placobranchoidea","superfamily","71491","Placobranchidae","family","71492","Gastropoda",NA,NA,"Gastropoda",NA,"Placobranchidae",100
"DUP_19745;size=120",51,6,8.03e-50,12,2,"Mytilus","genus","6548","Mytilus","genus","6548","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",120
"DUP_19750;size=126",27,25,6.18e-46,18,17,"Asteroidea","class","7588","Asteroidea","class","7588","Asteroidea",NA,NA,"Asteroidea",NA,NA,126
"DUP_198;size=31216",18,1,4.74e-52,18,1,"Ruditapes philippinarum","species","129788","Ruditapes philippinarum","species","129788","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",31216
"DUP_1980;size=3315",3,1,2.24e-40,3,1,"Alvania concinna","species","1365458","Alvania concinna","species","1365458","Gastropoda",NA,"Rissoidae","Gastropoda",NA,"Rissoidae",3315
"DUP_19820;size=103",1,1,3.52e-25,1,1,"Planktomarina temperata RCA23","below-species","666509","Planktomarina temperata RCA23","below-species","666509","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",103
"DUP_19825;size=130",4,1,4.79e-37,4,1,"Mercenaria mercenaria","species","6596","Mercenaria mercenaria","species","6596","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",130
"DUP_19846;size=109",5,4,1.34e-42,1,1,"Ptychoderidae","family","35078","Ptychodera flava","species","63121","Enteropneusta",NA,"Ptychoderidae","Enteropneusta",NA,"Ptychoderidae",109
"DUP_19868;size=152",19,8,2.87e-44,19,8,"Sessilia","order","116167","Sessilia","order","116167","Maxillopoda","Sessilia",NA,"Maxillopoda","Sessilia",NA,152
"DUP_19872;size=110",2,1,8.22e-25,2,1,"Modiolus modiolus","species","40256","Modiolus modiolus","species","40256","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",110
"DUP_1988;size=2968",4,1,6.08e-31,1,1,"Alderia modesta","species","369574","Alderia modesta","species","369574","Gastropoda",NA,"Limapontiidae","Gastropoda",NA,"Limapontiidae",2968
"DUP_19884;size=99",1,1,4.95e-22,1,1,"Euphausia similis","species","102977","Euphausia similis","species","102977","Malacostraca","Euphausiacea","Euphausiidae","Malacostraca","Euphausiacea","Euphausiidae",99
"DUP_19928;size=102",12,2,3.77e-33,12,2,"Mytilus","genus","6548","Mytilus","genus","6548","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",102
"DUP_19939;size=124",9,9,1.75e-26,2,2,"Tellinoidea","superfamily","98297","Nitidotellina","genus","255529","Bivalvia","Veneroida",NA,"Bivalvia","Veneroida","Tellinidae",124
"DUP_2;size=8941470",71,42,1.69e-51,17,7,"Sessilia","order","116167","Sessilia","order","116167","Maxillopoda","Sessilia",NA,"Maxillopoda","Sessilia",NA,8941470
"DUP_20;size=907755",4,1,7.44e-39,1,1,"Alderia modesta","species","369574","Alderia modesta","species","369574","Gastropoda",NA,"Limapontiidae","Gastropoda",NA,"Limapontiidae",907755
