"X1","X2","dist","Bray_Curtis","Morisita","Morisita_Horn","Jaccard","Gower","Bray_Curtis_bin","Morisita_bin","Morisita_Horn_bin","Jaccard_bin","Gower_bin"
"PCT-S-0075","PCT-S-0125",49.9998908491246,0.554897380033657,0.773624417687616,0.773602882529665,0.383984758152733,0.884307905267735,0.511627906976744,1,0.511627906976744,0.34375,0.858108108108108
"PCT-C-0075","PCT-C-0125",50.002125220873,0.266486444991415,0.362183730504774,0.362172894392525,0.153726196268535,0.867039501705282,0.368421052631579,1,0.368421052631579,0.225806451612903,0.837837837837838
"PCT-N-0075","PCT-N-0125",50.0037923544833,0.661838248643464,0.920318142430407,0.920297937790066,0.494587629613937,0.877379223400465,0.41025641025641,1,0.41025641025641,0.258064516129032,0.844594594594595
"PCT-C-0000","PCT-C-0075",74.9973968653242,0.361944213394104,0.456716287838642,0.45670154269901,0.22095963785462,0.87282938669781,0.27027027027027,1,0.27027027027027,0.15625,0.817567567567568
"PCT-S-0000","PCT-S-0075",74.9976294837417,0.373091200437655,0.677314442498918,0.677297254145318,0.229325208971775,0.876329917304378,0.277777777777778,1,0.277777777777778,0.161290322580645,0.824324324324324
"PCT-N-0000","PCT-N-0075",74.9988182378081,0.346627094660303,0.462649133790367,0.462638391773428,0.209648466804339,0.896397777270856,0.5,1,0.5,0.333333333333333,0.878378378378378
"PCT-N-0125","PCT-N-0250",124.995857007993,0.209891507930279,0.317795833506676,0.317786930379709,0.117250719082173,0.876412295514179,0.32258064516129,1,0.32258064516129,0.192307692307692,0.858108108108108
"PCT-S-0000","PCT-S-0125",124.997520322627,0.518312485372256,0.848930904124624,0.84891455655642,0.349812278402356,0.878262947421952,0.285714285714286,1,0.285714285714286,0.166666666666667,0.831081081081081
"PCT-C-0125","PCT-C-0250",124.997790581467,0.128426097151097,0.103851986170509,0.103848614343303,0.0686193032268761,0.833510261871671,0.378378378378378,1,0.378378378378378,0.233333333333333,0.844594594594595
"PCT-C-0000","PCT-C-0125",124.999522053278,0.16245242768815,0.240391729012908,0.240383642636825,0.0884071956209361,0.855173773680284,0.27027027027027,1,0.27027027027027,0.15625,0.817567567567568
"PCT-S-0125","PCT-S-0250",125.000812121677,0.710926587068863,0.935071324465768,0.935058521629905,0.551502016826439,0.922609011077216,0.628571428571429,1,0.628571428571429,0.458333333333333,0.912162162162162
"PCT-N-0000","PCT-N-0125",125.002610419426,0.380865306502756,0.452966430137345,0.452954388097164,0.235227685523869,0.890640642429655,0.303030303030303,1,0.303030303030303,0.178571428571428,0.844594594594595
"PCT-N-0075","PCT-N-0250",174.999649077836,0.282883989698653,0.38277085312493,0.382761523793003,0.164743667871926,0.88364707331863,0.294117647058823,1,0.294117647058824,0.172413793103448,0.837837837837838
"PCT-C-0075","PCT-C-0250",174.999915766802,0.217562529536345,0.288898544447123,0.288889532861549,0.122058996818414,0.838891762618131,0.216216216216216,1,0.216216216216216,0.121212121212121,0.804054054054054
"PCT-S-0075","PCT-S-0250",175.000702967705,0.521522364319756,0.708193563943856,0.70818125110229,0.352742815808509,0.921483187339059,0.666666666666667,1,0.666666666666667,0.5,0.918918918918919
"PCT-C-0000","PCT-C-0250",249.997312626234,0.244173353802345,0.352651458582631,0.352639050835826,0.139064613429302,0.835670633695488,0.166666666666667,1,0.166666666666667,0.0909090909090909,0.797297297297297
